Benefits,Company,Education,Industry,Industry_label,Job_function,Job_title,Level,Location,Posting_date,Salary,Work_exp
,K Marketing & Communications Limited,Diploma,All IT,Advertising / PR / Marketing / Research Marketing,"['IT (Software / Web Developer)', 'IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Others)']",Web Programmer,Middle,Sham Shui Po District / Lai Chi Kok,Posting Date: 2020-08-24,--,--
,Masterlink Computer Co Ltd,--,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (System Engineer / Network Engineer)', 'IT (Network & System)', 'IT (Others)']",IT Technician/Technical Support/Engineer,General,,Posting Date: 2020-08-24,--,2-3
"['', 'Birthday Leave', '', 'Medical Insurance']",SEITO SYSTEMS LTD.,DSE ,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (Application - Software)', 'IT (Hardware)', 'IT (Others)']",Project Assistant,General,,Posting Date: 2020-08-24,--,1
"['', 'Alternate Saturday', '', 'Bank Holiday', '', 'Medical Insurance', '', 'Year end bonus']",Computer Services & Management (HK),Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (System Analyst)', 'IT (Technical / Functional Consulting)', 'IT (Systems / Technical Support)', 'Building / Architectural (Building / Construction / QS)']",Autodesk BIM Product Support  ,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,1-3
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",Hornington Computers Company,F.5 / HKCEE,All IT,Trading,"['Sales (Sales Administration)', 'Sales (General Sales)', 'Sales (Wholesale)', 'Sales (Direct Sales)', 'IT (Hardware)']",Sales Executive (IT and Computer products),General,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,3-10
"['', 'Bank Holiday', '', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance']",Hornington System Limited,F.5 / HKCEE,All IT,Trading,"['IT (Hardware)', 'Retail (Retail Operations Management)', 'Sales (Channel / Distribution)', 'Sales (Direct Sales)', 'Sales (Sales Management)']",Sales Executive (Computer Components),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,3-10
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",Hornington Computers Company,F.7 / HKAL,All IT,Trading,"['Sales (Sales Administration)', 'Sales (General Sales)', 'Sales (Wholesale)', 'Sales (Direct Sales)', 'IT (Hardware)']",Sales Executive,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,--
,Create Tech Software Systems Limited,Diploma,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'IT (Application - Network)', 'IT (Others)']",Web Developer,General,,Posting Date: 2020-08-24,--,1
,"3Tech E&M Engineering Co., Ltd.",Associate Degree / Higher Diploma,All IT,Trading,"['IT (System Engineer / Network Engineer)', 'IT (Network & System)', 'IT (Systems / Technical Support)', 'IT (Others)']",System Engineer,Middle,,Posting Date: 2020-08-24,--,4
,SmartBLKTrade Limited (SBT),Bachelor,All IT,Trading,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Software / Web Developer)', 'IT (System Engineer / Network Engineer)', 'Fresh Graduate (Fresh Graduate)']",Director of AI Dept / Research Data Scientist / AI Engineer,General,,Posting Date: 2020-08-24,--,--
,SmartBLKTrade Limited (SBT),Bachelor,All IT,Trading,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Software / Web Developer)', 'IT (System Analyst)', 'Engineering (Engineering Project Management)']",DataScientist/Programmers/EngineersResearchDataScientist/SeniorDataScientist/ProjectManager/SystemArchitect/FullStackdeveloper/BackEndProgrammer/AIEngineer/MachineLearningandBlockchainprogrammer,General,,Posting Date: 2020-08-24,--,--
,Guangdong-Hong Kong-Macao Greater Bay Area Artificial Intelligence Academy Limited,--,All IT,Trading,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Software / Web Developer)', 'IT (System Analyst)', 'Engineering (Engineering Project Management)']",DataScientist/Programmers/Engineers:ResearchDataScientist/SeniorDataScientist/ProjectManager/SystemArchitect/FullStackdeveloper/BackendProgrammer/AIEngineer/MachineLearningandBlockchainprogrammer,General,,Posting Date: 2020-08-24,--,--
,SmartBLKTrade Limited (SBT),Bachelor,All IT,Trading,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Application - Software)', 'Engineering (Others)', 'Fresh Graduate (Fresh Graduate)']","Research Data Scientist / Big Data Engineer, AI Dept",General,,Posting Date: 2020-08-24,--,--
,SmartBLKTrade Limited (SBT),Bachelor,All IT,Trading,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Systems / Technical Support)', 'IT (Others)']",Backend Programmer / Developer,General,,Posting Date: 2020-08-24,--,--
,SmartBLKTrade Limited (SBT),Bachelor,All IT,Trading,"['IT (Mobile Applications Developer)', 'IT (Software / Web Developer)', 'IT (Network & System)', 'IT (Application - Software)', 'IT (Systems / Technical Support)']",Mobile App Programmer  /  Developer,General,,Posting Date: 2020-08-24,--,--
,SmartBLKTrade Limited (SBT),Bachelor,All IT,Trading,"['IT (IT Project Management / Team Lead)', 'IT (Network & System)', 'IT (Software / Web Developer)', 'IT (Systems / Technical Support)', 'Engineering (Others)']",Project Manager / System Architect / Full Stack developer / Senior Programmer / Programmer / Data Scientist / Cybersecurity engineer / Machine Learning and Blockchain programmer,Middle,,Posting Date: 2020-08-24,--,--
,SmartBLKTrade Limited (SBT),Bachelor,All IT,Trading,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Application - Network)', 'IT (Others)', 'Engineering (Mechanical)']",Full-stack Machine Learning Engineer,Middle,,Posting Date: 2020-08-24,--,5
"['', 'Overtime Pay', '', 'Performance Bonus']",Gateway Technology Development Co Ltd,F.7 / HKAL,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (System Administrator)', 'IT (Others)']",Network Technical Trainee / System Administration,General,Central & Western District / Sheung Wan,Posting Date: 2020-08-24,--,--
"['', 'Overtime Pay', '', 'Performance Bonus']",Gateway Technology Development Co Ltd,Bachelor,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (Product Management / Business Analyst)', 'IT (Network & System)', 'IT (Others)']",Network Engineer,General,Central & Western District / Sheung Wan,Posting Date: 2020-08-24,--,1 or above
"['', 'Five-Day Work', '', 'Medical Insurance']",Infotech Services (HK) Limited,Associate Degree / Higher Diploma,All IT,Employment Agency,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Others)']","Systems Analysts - J2EE, JavaScript, Oracle RDBMS",Middle,Wanchai District / Wan Chai,Posting Date: 2020-08-24,--,8-15
"['', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay']",CL Technical Services Ltd,Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Systems / Technical Support)']","Programmer (Java/J2EE, Around $28K)",General,Eastern District / Chai Wan,Posting Date: 2020-08-24,--,2
"['', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay']",CL Technical Services Ltd,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (System Analyst)', 'IT (Systems / Technical Support)', 'IT (Technical / Functional Consulting)']",Analyst Programmer (.Net),Middle,Eastern District / Sai Wan Ho,Posting Date: 2020-08-24,--,3
"['', 'Five-Day Work', '', 'Medical Insurance']",CL Technical Services Ltd,Diploma,All IT,Information Technology,"['IT (Application - Network)', 'IT (Hardware)', 'IT (Network & System)', 'IT (System Engineer / Network Engineer)', 'IT (Systems / Technical Support)']",IT Workplace Support,General,Kwun Tong District / Kowloon Bay,Posting Date: 2020-08-24,--,2
,CL Technical Services Ltd,F.5 / HKCEE,All IT,Information Technology,"['IT (Application - Network)', 'IT (Hardware)', 'IT (Network & System)', 'IT (System Engineer / Network Engineer)', 'IT (Systems / Technical Support)']","Onsite Support Engineer (Kowloon Bay, Around $18K)",General,Kwun Tong District / Kowloon Bay,Posting Date: 2020-08-24,--,1
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",DB Power Online Limited,Bachelor,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (IT Project Management / Team Lead)']",Analyst Programmer  ( C++),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,3 or above
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",DB Power Online Limited ,Certificate,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (IT Project Management / Team Lead)']",PHP  Developer,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,1-3
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",DB Power Online Limited ,Bachelor,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (IT Project Management / Team Lead)']",Analyst Programmer ( Java ),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,1-2
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",DB Power Online Limited ,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Mobile / Wireless Communications)']", Mobile  Application Developer,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,1-2
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",DB Power Online Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Network & System)', 'IT (System Engineer / Network Engineer)', 'IT (Others)']",System  Engineer,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,2-3
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",Wemine Limited,Associate Degree / Higher Diploma,All IT,Design / Production House,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'Engineering (Others)']",Web Developer Trainee/Web Developer,General,,Posting Date: 2020-08-24,--,1-2
"['', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",Wemine Limited,Associate Degree / Higher Diploma,All IT,Design / Production House,"['IT (Systems / Technical Support)', 'IT (Software / Web Developer)', 'Sales (Business Development)']",Customer Support (Web) Programmer/ Helpdesk Engineer,General,,Posting Date: 2020-08-24,--,--
"['', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",Wemine Limited,Associate Degree / Higher Diploma,All IT,Design / Production House,"['IT (Application - Software)', 'IT (Product Management / Business Analyst)', 'IT (Software / Web Developer)']",Full-Stack Web Developer /Web Application Engineer,General,,Posting Date: 2020-08-24,--,1-3
"['', 'Five-Day Work']",Optix Solutions Limited,--,All IT,Information Technology,"['IT (Network & System)', 'IT (Product Management / Business Analyst)', 'IT (Systems / Technical Support)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",AI researcher (5 days work),General,,Posting Date: 2020-08-24,--,--
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",TOGO Pacific Limited,Bachelor,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Analyst Programmer Trainee (Web Business Solution) ,General,Kwun Tong District,Posting Date: 2020-08-24,--,--
"['', 'Alternate Saturday', '', 'Bank Holiday', '', 'Year end bonus']",Newcom System Limited,DSE ,All IT,Engineering / Electrical / Electronics,"['Engineering (Electrical / Electronic)', 'Engineering (Mechanical)', 'IT (Network & System)', 'IT (Others)']",Programmer/trainee,General,Tsuen Wan District,Posting Date: 2020-08-24,--,--
"['', 'Bank Holiday', '', 'Birthday Leave', '', 'Double Pay', '', 'Five-Day Work', '', 'Medical Insurance']",Altai Technologies Ltd,MBA / Master / or above,All IT,Tele-communications,"['IT (Technical / Functional Consulting)', 'IT (Mobile / Wireless Communications)', 'IT (System Engineer / Network Engineer)']",Hardware - Wireless Network Engineer I,Middle,Shatin District,Posting Date: 2020-08-24,--,2-6
"['', 'Bank Holiday', '', 'Birthday Leave', '', 'Double Pay', '', 'Five-Day Work', '', 'Medical Insurance']",Altai Technologies Ltd,Bachelor,All IT,Tele-communications,"['IT (Software / Web Developer)', 'IT (System Engineer / Network Engineer)']",Web Application Engineer,Middle,Shatin District,Posting Date: 2020-08-24,--,1-4
"['', 'Bank Holiday', '', 'Birthday Leave', '', 'Double Pay', '', 'Five-Day Work', '', 'Medical Insurance']",Altai Technologies Ltd,Bachelor,All IT,Tele-communications,"['IT (Technical / Functional Consulting)', 'IT (Mobile / Wireless Communications)', 'IT (System Engineer / Network Engineer)']",Wireless Network Engineer,Middle,Shatin District,Posting Date: 2020-08-24,--,0 - 5
"['', 'Medical Insurance', '', 'Overtime Pay', '', 'Performance Bonus']",Computsys Company Limited,Diploma,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (Security Specialist / Risk Management)', 'IT (Network & System)', 'IT (Others)']",Technical Support (Yuen Long),General,Yuen Long District / Yuen Long,Posting Date: 2020-08-24,--,1
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Ewell Hong Kong Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Network & System)', 'IT (Systems / Technical Support)', 'IT (Others)']",System Engineer / IT Specialist/ System Support,General,Shatin District / Shatin,Posting Date: 2020-08-24,--,2
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Ewell Hong Kong Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Systems / Technical Support)', 'IT (Others)']",Analyst programmer/ Developer (Java/ App),General,Shatin District / Shatin,Posting Date: 2020-08-24,--,2
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Ewell Hong Kong Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Others)']",System Analyst (Implementation),Senior,Shatin District / Shatin,Posting Date: 2020-08-24,--,5 or above
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Ewell Hong Kong Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Others)']",System Analyst,General,Shatin District / Shatin,Posting Date: 2020-08-24,--,5 or above
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Ewell Hong Kong Limited,Bachelor,All IT,Information Technology,"['IT (IT Project Management / Team Lead)', 'IT (Software / Web Developer)', 'IT (Others)']",Technical Project Manager / Assistant Project Manager,Senior,Shatin District / Shatin,Posting Date: 2020-08-24,--,5
,Suntrend Technology Co. Limited,Bachelor,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Technical / Functional Consulting)', 'IT (Network & System)', 'IT (Others)']",programmer,General,,Posting Date: 2020-08-24,--,1 or above
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",CBX Software Limited,Bachelor,All IT,Information Technology,"['IT (Application - Software)', 'IT (Product Management / Business Analyst)', 'IT (Software / Web Developer)', 'IT (Others)']",Software Implementation Consultant / Business Analyst (Five-day work),Middle,Sham Shui Po District / Lai Chi Kok,Posting Date: 2020-08-24,--,3
"['', 'Medical Insurance', '', 'On-the-job training', '', 'Performance Bonus', '', 'Travel Allowance']",CBX Software Limited,Bachelor,All IT,Information Technology,"['IT (IT Project Management / Team Lead)', 'IT (Product Management / Business Analyst)', 'IT (Technical / Functional Consulting)']",IT Product Manager / Product Owner (Five-day work),Senior,Sham Shui Po District / Lai Chi Kok,Posting Date: 2020-08-24,--,6
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",CBX Software Limited,Bachelor,All IT,Information Technology,"['IT (Application - Software)', 'IT (Product Management / Business Analyst)', 'IT (IT Project Management / Team Lead)', 'Retail (Others)']",Senior Business Consultant – Retail Sourcing IT projects (Based in Munich Germany),Middle,Overseas,Posting Date: 2020-08-24,--,3 or above
"['', 'Alternate Saturday']",Genuine Treasure Access and Scaffolding Limited,Bachelor,All IT,Building / Construction,"['Accounting / Auditing (Others)', 'IT (IT Project Management / Team Lead)', 'IT (Others)']",BUSINESS ANALYST/ SENIOR BUSINESS ANALYST,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,1-2
"['', 'Five-Day Work', '', 'Free Shuttle Bus', '', 'Medical Insurance', '', 'Performance Bonus']",LEE KEE GROUP,Bachelor,All IT,Trading,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Others)']",Network & System Administrator,Middle,Tai Po District,Posting Date: 2020-08-24,--,3
,東大前語言研習社,Associate Degree / Higher Diploma,All IT,Education / Training,"['IT (Software / Web Developer)', 'IT (Network & System)', 'IT (Application - Software)', 'IT (Application - Network)', 'IT (Others)']",Programmer,General,,Posting Date: 2020-08-24,--,1
"['', 'Dental Insurance', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",China Comservice (Hong Kong) Limited,Associate Degree / Higher Diploma,All IT,Tele-communications,"['Engineering (Telecommunication / Wireless / Radio)', 'IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Others)']",NOC Engineer,General,,Posting Date: 2020-08-24,--,1
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",China Comservice (Hong Kong) Limited,Diploma,All IT,Tele-communications,"['IT (Network & System)', 'IT (Systems / Technical Support)', 'IT (Application - Network)', 'IT (Others)', 'Engineering (Electrical / Electronic)']",IT Support Engineer,General,,Posting Date: 2020-08-24,--,--
,BroadLearning Education (Asia) Limited,Bachelor,All IT,Information Technology,['IT (Software / Web Developer)'],Senior Programmer (Web),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,2
,BroadLearning Education (Asia) Limited,Bachelor,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Mobile / Wireless Communications)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Mobile App Developer,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,--
,BroadLearning Education (Asia) Limited,Bachelor,All IT,Information Technology,"['Education (Others)', 'IT (Others)']",Education Development Executive / Training Executive,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,1
,BroadLearning Education (Asia) Limited,Bachelor,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'IT (Others)']",Analyst Programmer (Web),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,4
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus']",Fleet Management Limited,--,All IT,Others,"['IT (Systems / Technical Support)', 'IT (IT Management)', 'IT (Software / Web Developer)']",Software Engineer / Developer,Middle,Southern District / Aberdeen,Posting Date: 2020-08-24,--,5
"['', 'Double Pay', '', 'Five-Day Work', '', 'Medical Insurance']",Sonnet Business Systems Ltd,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Network & System)', 'IT (Application - Software)', 'IT (Application - Network)', 'IT (Software / Web Developer)', 'Fresh Graduate (Fresh Graduate)']",Programmer / Analyst Programmer,General,,Posting Date: 2020-08-24,--,0 - 2
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Four Directions Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Network & System)', 'IT (Software / Web Developer)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Web Developer / Senior Web Developer / Web Developer,Middle,,Posting Date: 2020-08-24,--,1
"['', 'Medical Insurance', '', 'Performance Bonus']",Astrid Electronics HK Limited,Diploma,All IT,Engineering / Electrical / Electronics,"['Design (Industrial / Product)', 'Design (Web Designer)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Product Designer,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,1
"['', 'Medical Insurance', '', 'Performance Bonus']",Astrid Electronics HK Limited,Diploma,All IT,Engineering / Electrical / Electronics,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Others)', 'Engineering (Electrical / Electronic)']",IT Support,Middle,Kwun Tong District / Kowloon Bay,Posting Date: 2020-08-24,--,3-5
"['', 'Medical Insurance', '', 'Performance Bonus']",Systems Scanning Ltd,Certificate,All IT,Information Technology,"['IT (Hardware)', 'IT (Systems / Technical Support)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Technician,General,Sham Shui Po District / Lai Chi Kok,Posting Date: 2020-08-24,--,--
"['', 'Medical Insurance', '', 'Performance Bonus']",Systems Scanning Ltd,Certificate,All IT,Information Technology,"['IT (Hardware)', 'IT (Systems / Technical Support)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Technician / Technical Support Engineer,General,,Posting Date: 2020-08-24,--,--
"['', 'Bank Holiday', '', 'On-the-job training', '', 'Year end bonus']",金臻(香港)有限公司,F.5 / HKCEE,All IT,Trading,"['Engineering (Electrical / Electronic)', 'Engineering (Telecommunication / Wireless / Radio)', 'Engineering (Others)', 'IT (Others)']",打印機維修,General,Kwai Tsing District / Kwai Chung,Posting Date: 2020-08-24,"$13,000 - $14,000",2
"['', 'Double Pay', '', 'Free Shuttle Bus', '', 'On-the-job training', '', 'Promotion']",啟恒科技有限公司,Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Others)']",Android開發人員 ,General,Tsuen Wan District,Posting Date: 2020-08-24,"$18,000 - $35,000",1
"['', 'Double Pay']",啟恒科技有限公司,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Others)']",Java開發工程師,General,Tsuen Wan District,Posting Date: 2020-08-24,"$18,000 - $35,000",1
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance']",ClearGO e-Business Consultancy Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'IT (Technical / Functional Consulting)', 'IT (Others)']",Developer / Senior Programmer,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,2
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance']",ClearGO e-Business Consultancy Limited,Certificate,All IT,Information Technology,"['IT (Software / Web Developer)', 'Design (Web Designer)', 'Design (Multi-Media)']",Web /Front-end Developer,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,--
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance']",ClearGO e-Business Consultancy Limited,Bachelor,All IT,Information Technology,"['IT (IT Management)', 'IT (Product Management / Business Analyst)', 'IT (Others)']",Business Analyst / Project Officer,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-08-24,--,2
"['', 'Medical Insurance', '', 'Overtime Pay', '', 'Performance Bonus']",Bespark Technologies Engineering Ltd,Diploma,All IT,Engineering / Electrical / Electronics,"['IT (IT Management)', 'IT (Mobile / Wireless Communications)', 'IT (Others)']",Project Engineer / Assistant Project Engineer (Telecommunications / IT),Middle,Kwun Tong District / Kowloon Bay,Posting Date: 2020-08-24,--,1-2
,,,All IT,,,,,,,,
"['', 'Dental Insurance', '', 'Education Allowance', '', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Hong Thai Travel Services Ltd,Associate Degree / Higher Diploma,All IT,Travel & Tourism,"['IT (Application - Software)', 'IT (Webmaster / SEO)', 'IT (Software / Web Developer)']",Junior Programmer / Senior Web Developer,General,Tsuen Wan District,Posting Date: 2020-08-24,--,1 or above
"['', 'Birthday Leave', '', 'Dental Insurance', '', 'Double Pay', '', 'Five-Day Work', '', 'Marriage Leave', '', 'Medical Insurance', '', 'Travel Allowance']",ISSI Outlet Limited,Bachelor,All IT,Wholesale & Retail,"['IT (Systems / Technical Support)', 'IT (IT Management)', 'IT (Others)']",IT Officer(eCommerce),General,Sham Shui Po District / Lai Chi Kok,Posting Date: 2020-08-24,--,2
"['', 'Birthday Leave', '', 'Five-Day Work', '', 'Marriage Leave', '', 'Paternity Leave']",Cityray Technology (China) Ltd ,Diploma,All IT,Information Technology,"['IT (System Engineer / Network Engineer)', 'IT (Network & System)', 'IT (Application - Software)', 'IT (Others)']",System Engineer (MSSQL),General,,Posting Date: 2020-08-24,--,3 or above
,"3Tech E&M Engineering Co., Ltd.",Associate Degree / Higher Diploma,All IT,Trading,"['IT (System Analyst)', 'IT (Systems / Technical Support)', 'IT (Others)']",Analyst Programmer,General,,Posting Date: 2020-08-24,--,2
,"3Tech E&M Engineering Co., Ltd.",Associate Degree / Higher Diploma,All IT,Trading,"['IT (IT Project Management / Team Lead)', 'IT (Systems / Technical Support)', 'IT (Others)']",IT Architect,General,,Posting Date: 2020-08-24,--,4
"['', 'Five-Day Work']",Asia Port Services Limited,Associate Degree / Higher Diploma,All IT,Logistics,"['IT (Network & System)', 'IT (Software / Web Developer)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Programmer (Temporary) (Contract ended at 31 Dec 2020),General,,Posting Date: 2020-08-24,--,--
"['', 'Five-Day Work']",NEARKO LIMITED,--,All IT,Information Technology,"['IT (Mobile Applications Developer)', 'IT (Software / Web Developer)', 'Design (Others)']",Game Developer (Unity),General,Tsuen Wan District,Posting Date: 2020-08-24,--,--
,思域電腦系統有限公司,F.5 / HKCEE,All IT,Information Technology,"['IT (Application - Software)', 'IT (Hardware)', 'IT (Network & System)', 'IT (Others)']",技術員,General,,Posting Date: 2020-08-24,"$11,000 - $13,000",--
,Money Concepts (Asia) Holdings Ltd,Associate Degree / Higher Diploma,All IT,Banking / Finance / Securities / Investments,"['IT (Network & System)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Part Time Data Base Officer,General,Wanchai District / Wan Chai,Posting Date: 2020-08-23,$50 - $80,--
,Money Concepts (Asia) Holdings Ltd,Associate Degree / Higher Diploma,All IT,Banking / Finance / Securities / Investments,"['IT (Network & System)', 'Administration / Secretary (Clerical / Admin Staff)', 'Administration / Secretary (Administration / Operation Manager)']",IT Support & Admin Officer,General,Hong Kong / Hong Kong Island,Posting Date: 2020-08-23,"$12,000 - $18,000",--
"['', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay']",CL Technical Services Limited,F.5 / HKCEE,All IT,Information Technology,"['IT (Hardware)', 'IT (Systems / Technical Support)', 'IT (Network & System)']",Data Centre Operator / 數據中心操作員,General,Central & Western DistrictYau Tsim Mong District / Tsim Sha Tsui,Posting Date: 2020-08-23,--,--
"['', 'Five-Day Work', '', 'Medical Insurance']",CL Technical Services Limited,Diploma,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Application - Network)']","Deskside Engineer (PC, Windows, hardware, software)",Middle,Yau Tsim Mong District / Tsim Sha Tsui,Posting Date: 2020-08-23,--,2-3
"['', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay']",CL Technical Services Limited,--,All IT,Information Technology,"['IT (Hardware)', 'IT (Systems / Technical Support)', 'IT (Network & System)']",Field Engineer (PC Desktops) $13-16K,General,Central & Western District,Posting Date: 2020-08-23,--,--
"['', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay']",CL Smart Sourcing Limited,--,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Application - Software)']",Senior Analyst Programmer / System Analyst (Java),Middle,Central & Western District,Posting Date: 2020-08-23,--,--
