Benefits,Company,Education,Industry,Industry_label,Job_function,Job_title,Level,Location,Posting_date,Salary,Work_exp
"['', 'Bank Holiday', '', 'Double Pay', '', 'Five-Day Work', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Sales (Business Development)', 'Marketing / Public Relations (Brand / Product Management)']",Senior Officer / Officer – Marketing & Product Development,Middle,Hong Kong,Posting Date: 2020-09-05,--,2
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)']",Marketing Assistant (Ref: RO-MA),General,Hong Kong,Posting Date: 2020-09-05,--,2
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Corporate Banking)', 'Banking / Finance / Securities (Loan)', 'Administration / Secretary (Clerical / Admin Staff)']",Credit Administration Clerk (Ref: RO-CAC),General,Hong Kong,Posting Date: 2020-09-05,--,2
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Accounting / Auditing (General Accounting)', 'Accounting / Auditing (Finance / Accounting Manager)', 'Banking / Finance / Securities (Others)']",Deputy Accounting Manager (Ref: RO-DAM),Senior,Hong Kong,Posting Date: 2020-09-05,--,--
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Mortgage)']",Direct Sales Officer - Mortgage (Ref: RO-MSO),Middle,Hong Kong,Posting Date: 2020-09-05,--,1
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Others)', 'Administration / Secretary (Secretary)']",Officer – Branch Administration (Ref: RO-SBAO),General,Hong Kong,Posting Date: 2020-09-05,--,1
"['', 'Bank Holiday', '', 'Double Pay', '', 'Five-Day Work', '', 'Labour / Statutory Holiday', '', 'Marriage Leave', '', 'Medical Insurance', '', 'Performance Bonus']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Mortgage)']",Branch Manager (Ref: RO-BM),Middle,Hong Kong,Posting Date: 2020-09-05,--,5
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Mortgage)']",Assistant Branch Manager (Ref: RO-ABM),Senior,Hong Kong,Posting Date: 2020-09-05,--,5
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Mortgage)']",Senior / Customer Service Officer (Ref: RO-CSO),Middle,Hong Kong,Posting Date: 2020-09-05,--,3
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)', 'Banking / Finance / Securities (Others)']",Teller / Relief Teller (Full-Time / Part-Time) (Ref: RO-CSR),General,Hong Kong,Posting Date: 2020-09-05,--,1
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)']",Junior Teller (Ref: RO-JCSR),General,Hong Kong,Posting Date: 2020-09-05,--,--
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Mortgage)']",Customer Service Officer - Relief Team (Ref: RO-CSORT),Middle,Hong Kong,Posting Date: 2020-09-05,--,3
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Corporate Banking)', 'Banking / Finance / Securities (Loan)', 'Sales (Business Development)']","Relationship Manager / Officer, SME (Ref: RO-RM)",Middle,Hong Kong,Posting Date: 2020-09-05,--,3
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Mortgage)', 'Banking / Finance / Securities (Others)']",Loans Operations Officer (Ref: RO-LOO),General,Hong Kong,Posting Date: 2020-09-05,--,3
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)', 'IT (Product Management / Business Analyst)']",Senior Banking Projects Officer (Ref: RO-SBPO),Middle,Hong Kong,Posting Date: 2020-09-05,--,3
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)', 'IT (Product Management / Business Analyst)']",Senior Officer - E-Channel (Ref: RO-SECO),Middle,Hong Kong,Posting Date: 2020-09-05,--,3
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Corporate Banking)', 'Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Credit Analysis / Approval)']",Credit Manager (Ref: RO-CM),Senior,Hong Kong,Posting Date: 2020-09-05,--,8
